"","Municipio","Mesa","Cargo","Lista","Votos","VE","Year","Circuito"
"38755","JOAQUIN V. GONZALEZ",1492,"GOBERNADOR","MOVIMIENTO POPULAR SALTENO",0,"0",2007,"24C"
"38756","JOAQUIN V. GONZALEZ",1492,"SENADOR","MOVIMIENTO REGIONAL DEL PUEBLO",67,"0",2007,"24C"
"38759","JOAQUIN V. GONZALEZ",1492,"GOBERNADOR","PARTIDO DEL OBRERO",0,"0",2007,"24C"
"38760","JOAQUIN V. GONZALEZ",1492,"GOBERNADOR","PARTIDO NUEVA GENERACION",0,"0",2007,"24C"
"38763","JOAQUIN V. GONZALEZ",1492,"GOBERNADOR","PROPUESTA SALTENA",0,"0",2007,"24C"
"38768","JOAQUIN V. GONZALEZ",1492,"GOBERNADOR","F.PARA LA VICTORIA-P.RENOVADOR",28,"0",2007,"24C"
"38769","JOAQUIN V. GONZALEZ",1492,"SENADOR","F.PARA LA VICTORIA-P.RENOVADOR",20,"0",2007,"24C"
"38772","JOAQUIN V. GONZALEZ",1492,"GOBERNADOR","ENCUENTRO POPULAR AMPLIO",0,"0",2007,"24C"
"38773","JOAQUIN V. GONZALEZ",1492,"GOBERNADOR","CONCERTACION SALTENA",1,"0",2007,"24C"
"38774","JOAQUIN V. GONZALEZ",1492,"SENADOR","CONCERTACION SALTENA",1,"0",2007,"24C"
"38786","JOAQUIN V. GONZALEZ",1492,"GOBERNADOR","VOTOS EN BLANCO",27,"0",2007,"24C"
"38787","JOAQUIN V. GONZALEZ",1492,"SENADOR","VOTOS EN BLANCO",25,"0",2007,"24C"
"38820","JOAQUIN V. GONZALEZ",1491,"GOBERNADOR","PJ - FRE.JU.VI.",108,"0",2007,"24B"
"38821","JOAQUIN V. GONZALEZ",1491,"SENADOR","PJ - FRE.JU.VI.",61,"0",2007,"24B"
"38829","JOAQUIN V. GONZALEZ",1491,"GOBERNADOR","PARTIDO HUMANISTA",0,"0",2007,"24B"
"38836","JOAQUIN V. GONZALEZ",1491,"GOBERNADOR","MOV. SOC. DE LOS TRABAJADORES",0,"0",2007,"24B"
"38859","JOAQUIN V. GONZALEZ",1491,"GOBERNADOR","MOVIMIENTO POPULAR SALTENO",0,"0",2007,"24B"
"38860","JOAQUIN V. GONZALEZ",1491,"SENADOR","MOVIMIENTO REGIONAL DEL PUEBLO",58,"0",2007,"24B"
"38863","JOAQUIN V. GONZALEZ",1491,"GOBERNADOR","PARTIDO DEL OBRERO",0,"0",2007,"24B"
"38864","JOAQUIN V. GONZALEZ",1491,"GOBERNADOR","PARTIDO NUEVA GENERACION",0,"0",2007,"24B"
"38867","JOAQUIN V. GONZALEZ",1491,"GOBERNADOR","PROPUESTA SALTENA",1,"0",2007,"24B"
